text,label
"The ending is so, SO perfect... you'll shed a tear.  ",1
"It's close to my house, it's low-key, non-fancy, affordable prices, good food.",1
"What did bother me, was the slow service.",0
"Every time I eat here, I see caring teamwork to a professional degree.",1
"Anyway, I do not think i will go back there.",0
"And considering the two of us left there very full and happy for about $20, you just can't go wrong.",1
I've missed numerous calls because of this reason.,0
This is one of Peter Watkins most accessible films.  ,1
I guess I liked the details of his dysfunction--he was believable.  ,1
We are so glad we found this place.,1
There is nothing privileged about working/eating there.,0
But it does get better reception and clarity than any phone I've had before.,1
"However, after finally watching this film, I realized that not only had I had a closed mind to the brilliance it depicts, I also found myself watching it over and over again.  ",1
"I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  ",1
This is a great product..... sure beats using your fingers!.,1
"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",0
$50 Down the drain.,0
Wasted two hours.  ,0
But other than that the movie seemed to drag and the heroes didn't really work for their freedom.  ,0
""" With great sound effects, and impressive special effects, I can't recommend this movie enough.  ",1
"The movie showed a lot of Florida at it's best, made it look very appealing.  ",1
Paying $7.85 for a hot dog and fries that looks like it came out of a kid's meal at the Wienerschnitzel is not my idea of a good meal.,0
And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0
very tough and very short on flavor!,0
I wear glasses and it fits fine with them.,1
very slow at seating even with reservation.,0
If there were zero stars I would give it zero stars.,0
The Burrittos Blah!,0
Save your money.... I've had this item for 11 months now.,0
the worst phone from samsung...crap..... this crappy Samsung E715.. is the worst i have ever seeen.,0
I recommend iGo to anyone with different brand cell phones/mp3 players in the family.,1
The food was terrible.,0
You can't even tell if they have any talent because they not only have pathetic lines to speak but the director gave them no action.  ,0
Chinese Forgeries Abound!.,0
Battery lasts only a few hours.,0
"It felt like a very gripping, intelligent stage play (but without the overly theatrical feeling one actually gets from watching people on a stage) which plays on everyone's terror of a white lie escalating to monstrous consequences.  ",1
"I have only had it for a few weeks, but so far, so good.",1
Eclectic selection.,1
