text,label
"excellent service and fast delivery",1
"very good product quality",1
"helpful support and friendly staff",1
"I am happy with this purchase",1
"great experience and good value",1
"fast response and reliable service",1
"poor quality and broken on arrival",0
"terrible support nobody answered",0
"late delivery and disappointing product",0
"bad experience I want a refund",0
"unhelpful staff and slow service",0
"the product failed after one day",0
"excellent support resolved my issue",1
"good quality and quick shipping",1
"awful item with a serious defect",0
"very satisfied with the result",1
