text,label
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0
Great service and food.,1
Gets the job done.,1
I wouldn't recommend buying this product.,0
"Feelings, thoughts...Gabriel's discomfort during the dance...all these intangibles leap to life and come within the viewer's grasp in Huston's portrayal.  ",1
He was terrible!,0
I will never go back to this place and will never ever recommended this place to anyone!,0
- They never brought a salad we asked for.,0
I'd advise anyone to go and see it.  ,1
"- Really, really good rice, all the time.",1
Internet is excrutiatingly slow.,0
The only thing that disappoint me is the infra red port (irda).,0
I've also had problems with the phone reading the memory card in which I always turn it on and then off again.,0
"Perfect for someone (me) who only likes beer ice cold, or in this case, even colder.",1
"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0
"Their on-screen chemistry, critical to the entire film, is genuine.  ",1
The jerky camera movements were also annoying.  ,0
I'll give this film 10 out of 10!  ,1
I bought it for my mother and she had a problem with the battery.,0
The battery is completely useless to me.,0
She was quite disappointed although some blame needs to be placed at her door.,0
"When Achille and Philippa beautifully sing a duet from ""Don Giovanni"" that perfectly describes their situation in the movie, you appreciate the subtle layers of this excellent film.  ",1
I *heart* this place.,1
"stay away from this store, be careful.",0
Still it's quite interesting and entertaining to follow.  ,1
Awsome Device Works Great!!.,1
"I really recommend this faceplates since it looks very nice, elegant and cool.",1
Hence the whole story lacks a certain energy.  ,0
It's one of the movies I need to see whenever it comes on TV...never mind the fact that I already have it memorized!  ,1
My boyfriend tried the Mediterranean Chicken Salad and fell in love.,1
I'm translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.  ,0
I cannot make calls at certain places.,0
I left with a stomach ache and felt sick the rest of the day.,0
We have gotten a lot of compliments on it.,1
All in all I give this one a resounding 9 out of 10.  ,1
"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
"Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.",0
Nice docking station for home or work.,1
I'll take my business dinner dollars elsewhere.,0
Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0
"Very good, though!",1
Horrible - don't waste your time and money.,0
Defective crap.,0
Won't ever go here again.,0
I'm very disappointed with my decision.,0
The screen does get smudged easily because it touches your ear and face.,0
I've seen soap operas more intelligent than this movie.  ,0
This film (and I use that word loosely) is an insult to the movie-going public.  ,0
I found a six inch long piece of wire in my salsa.,0
CONCLUSION: Very filling meals.,1
"Personally, I think it shows that people should learn to find a compromise them self without involving other people into issue.  ",1
"(It wasn't busy either) Also, the building was FREEZING cold.",0
Why was this film made?  ,0
It feels more comfortable than most headsets because I wear glasses and that gets in the way sometimes.,1
""" But ""Storm Trooper"" is not even bad enough to make it to the list of wonderfully terrible movies.  ",0
I ordered this for sony Ericsson W810i but I think it only worked once (thats when I first used it).,0
Which is precisely why I am giving it such a bad review!  ,0
They know how to make them here.,1
It looses connection to the phone even when it is within a couple feet between the two.,0
"I saw ""Mirrormask"" last night and it was an unsatisfactory experience.  ",0
His on screen presence shined thought even though there were other senior actors on the screen with him.  ,1
"When a song could explain the emotions of the subjects better, such as when Jay Adams' unfortunate life was a subject of talk, the song Old Man by Neil Young was played, which evokes many emotions.  ",1
Fantastic food!,1
This was one of the worst films i have ever seen.  ,0
Authentic leather with nice shine and comfort .I recommend you this case !!,1
"I can hear while I'm driving in the car, and usually don't even have to put it on it's loudest setting.",1
"I have this phone and it is a thorn in my side, I really abhor it.",0
Basically the service was very bad.,0
Highly recommended.,1
"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1
"I started this review with two stars, but I'm editing it to give it only one.",0
The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0
It will drive you barking mad!  ,0
I guess maybe we went on an off night but it was disgraceful.,0
"Saggy, floppy piece of junk.",0
I liked the way Dustin Hoffman's character was ready to do just about everything to stay with his son.  ,1
I don't think there are any redeeming qualities in this remake.  ,0
Worst customer service.,0
Later I found myself lost in the power of the film.  ,1
Having to humour him just to get by and get through the day was so apt.  ,1
Its reception is very very poor.,0
Phone now holds charge like it did when it was new.,1
The poor actors.  ,0
"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0
But it does get better reception and clarity than any phone I've had before.,1
I wasn't the least bit interested.  ,0
I sat riveted to the TV screen.  ,1
"After watching this film, I wanted to learn more about the works of this artist.  ",1
Favorite place in town for shawarrrrrrma!!!!!!,1
"The attention given to every character, and complex psychological portrayals, detailing loyalty, treachery, love, and hope, are tremendous.  ",1
That company is a joke.,0
But in terms of the writing it's very fresh and bold.  ,1
"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",1
!I definitly recommend!!,1
"However, the ear pads come off easily and after only one week I lost one.",0
"I have eaten here multiple times, and each time the food was delicious.",1
I highly recommend these and encourage people to give them a try.,1
The price was very good and with the free shipping and all it was a good purchase.,1
"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1
I'm probably one of the few people to ever go to Ians and not like it.,0
All the characters in this film are tremendously well played.  ,1
I don't like this Nokia either.,0
